ID,Date,Bench,DiaryNumber,CaseNumber,JudgementBy,URL
5f5734b093fddc044aa32ebe,12-03-2019 ,"HON'BLE MR. JUSTICE ABHAY MANOHAR SAPRE, HON'BLE MR. JUSTICE DINESH MAHESHWARI",8 / 2019,Crl.A. No.-000469-000470 / 2019,HON'BLE MR. JUSTICE ABHAY MANOHAR SAPRE,/supremecourt/2019/8/8_2019_Judgement_12-Mar-2019.pdf
5f5734b193fddc044aa32ebf,28-02-2019 ,"HON'BLE MR. JUSTICE UDAY UMESH LALIT, HON'BLE MS. JUSTICE INDU MALHOTRA",38 / 2018,C.A. No.-002388-002389 / 2019,HON'BLE MR. JUSTICE UDAY UMESH LALIT,/supremecourt/2018/38/38_2018_Judgement_28-Feb-2019.pdf
5f5734b293fddc044aa32ec0,04-02-2019 ,"HON'BLE MR. JUSTICE A.K. SIKRI, HON'BLE MR. JUSTICE S. ABDUL NAZEER",56 / 2019,W.P.(C) No.-000004 / 2019,HON'BLE MR. JUSTICE A.K. SIKRI,/supremecourt/2019/56/56_2019_Judgement_04-Feb-2019.pdf
5f5734b393fddc044aa32ec1,15-02-2019 ,"HON'BLE MR. JUSTICE ABHAY MANOHAR SAPRE, HON'BLE MR. JUSTICE UDAY UMESH LALIT",90 / 2018,C.A. No.-001694-001694 / 2019,HON'BLE MR. JUSTICE UDAY UMESH LALIT,/supremecourt/2018/90/90_2018_Judgement_15-Feb-2019.pdf
5f5734b493fddc044aa32ec2,15-03-2019 ,"HON'BLE MR. JUSTICE ROHINTON FALI NARIMAN, HON'BLE MR. JUSTICE VINEET SARAN",138 / 2019,C.A. No.-003137-003137 / 2019,HON'BLE MR. JUSTICE VINEET SARAN,/supremecourt/2019/138/138_2019_Judgement_15-Mar-2019.pdf
5f5734b493fddc044aa32ec3,30-01-2019 ,"HON'BLE MR. JUSTICE A.M. KHANWILKAR, HON'BLE MR. JUSTICE AJAY RASTOGI",173 / 2013,C.A. No.-001313-001313 / 2019,HON'BLE MR. JUSTICE A.M. KHANWILKAR,/supremecourt/2013/173/173_2013_Judgement_30-Jan-2019.pdf
5f5734b593fddc044aa32ec4,27-03-2019 ,"HON'BLE MR. JUSTICE ABHAY MANOHAR SAPRE, HON'BLE MR. JUSTICE UDAY UMESH LALIT",231 / 2019,Crl.A. No.-000538-000539 / 2019,HON'BLE MR. JUSTICE UDAY UMESH LALIT,/supremecourt/2019/231/231_2019_Judgement_27-Mar-2019.pdf
5f5734b693fddc044aa32ec5,14-03-2019 ,"HON'BLE MR. JUSTICE N.V. RAMANA, HON'BLE MR. JUSTICE MOHAN M. SHANTANAGOUDAR, HON'BLE MR. JUSTICE S. ABDUL NAZEER",324 / 2011,Crl.A. No.-001398-001398 / 2011,HON'BLE MR. JUSTICE N.V. RAMANA,/supremecourt/2011/324/324_2011_Judgement_14-Mar-2019.pdf
5f5734b793fddc044aa32ec6,26-02-2019 ,"HON'BLE MR. JUSTICE ROHINTON FALI NARIMAN, HON'BLE MR. JUSTICE VINEET SARAN",326 / 2016,C.A. No.-002284-002284 / 2019,HON'BLE MR. JUSTICE ROHINTON FALI NARIMAN,/supremecourt/2016/326/326_2016_Judgement_26-Feb-2019.pdf
5f5734b893fddc044aa32ec7,14-01-2019 ,"HON'BLE MR. JUSTICE N.V. RAMANA, HON'BLE MR. JUSTICE MOHAN M. SHANTANAGOUDAR",477 / 2006,Crl.A. No.-001980-001980 / 2008,HON'BLE MR. JUSTICE MOHAN M. SHANTANAGOUDAR,/supremecourt/2006/477/477_2006_Judgement_14-Jan-2019.pdf
5f5734b993fddc044aa32ec8,22-01-2019 ,"HON'BLE MR. JUSTICE ROHINTON FALI NARIMAN, HON'BLE MR. JUSTICE NAVIN SINHA",559 / 2018,C.A. No.-000818 / 2018,HON'BLE MR. JUSTICE ROHINTON FALI NARIMAN,/supremecourt/2018/559/559_2018_Judgement_22-Jan-2019.pdf
5f5734ba93fddc044aa32ec9,26-02-2019 ,"HON'BLE MR. JUSTICE UDAY UMESH LALIT, HON'BLE MS. JUSTICE INDU MALHOTRA",686 / 2018,SLP(C) No.-000618 / 2018,HON'BLE MR. JUSTICE UDAY UMESH LALIT,/supremecourt/2018/686/686_2018_Judgement_26-Feb-2019.pdf
5f5734bb93fddc044aa32eca,19-02-2019 ,"HON'BLE MRS. JUSTICE R. BANUMATHI, HON'BLE MR. JUSTICE R. SUBHASH REDDY",753 / 2009,Crl.A. No.-001115-001115 / 2010,HON'BLE MRS. JUSTICE R. BANUMATHI,/supremecourt/2009/753/753_2009_Judgement_19-Feb-2019.pdf
